conditioning_variable,category,obesity_status,joint_probability,conditional_probability
sex,Female,Not Obese,0.3073500037925716,0.576879271070615
sex,Male,Not Obese,0.2922808525700994,0.62557497700092
sex,Female,Obese,0.22543045687846072,0.42312072892938496
sex,Male,Obese,0.17493868675886828,0.37442502299908004
age5cat,Age 18 to 29,Not Obese,0.04831736239285985,0.6989758595464521
age5cat,Age 30 to 39,Not Obese,0.08515587469343379,0.6069562083258244
age5cat,Age 40 to 54,Not Obese,0.13969305453717984,0.5511771747805267
age5cat,Age 55 to 69,Not Obese,0.19026067608910016,0.5724610117915557
age5cat,Age 70 and older,Not Obese,0.13620388865009733,0.6651438449191258
age5cat,Age 18 to 29,Obese,0.020808576268615205,0.3010241404535479
age5cat,Age 30 to 39,Obese,0.05514399130236909,0.3930437916741755
age5cat,Age 40 to 54,Obese,0.11375186468104473,0.44882282521947325
age5cat,Age 55 to 69,Obese,0.14209501656089607,0.42753898820844427
age5cat,Age 70 and older,Obese,0.06856969482440393,0.3348561550808742
income_group,High Income,Not Obese,0.1683396121463427,0.6236418134132634
income_group,Low Income,Not Obese,0.16702485398599276,0.5820777160983347
income_group,Middle Income,Not Obese,0.2642663902303355,0.5963711057856899
income_group,High Income,Obese,0.10159035169780789,0.3763581865867366
income_group,Low Income,Obese,0.119921114510379,0.41792228390166536
income_group,Middle Income,Obese,0.17885767742914213,0.40362889421431014
