state,total_observations,obese_observations,obesity_rate,obesity_rate_percent
North Dakota,308,149,0.4837662337662338,48.377
Wisconsin,1084,509,0.46955719557195574,46.956
Iowa,805,377,0.4683229813664596,46.832
Kentucky,435,201,0.46206896551724136,46.207
Ohio,1676,762,0.45465393794749404,45.465
South Dakota,603,273,0.4527363184079602,45.274
West Virginia,630,278,0.44126984126984126,44.127
Wyoming,364,160,0.43956043956043955,43.956
Delaware,335,147,0.4388059701492537,43.881
Oklahoma,582,254,0.436426116838488,43.643
Alabama,453,197,0.434878587196468,43.488
Texas,1218,527,0.43267651888341546,43.268
Maine,1034,445,0.43036750483558994,43.037
Nebraska,663,285,0.4298642533936652,42.986
Tennessee,635,272,0.4283464566929134,42.835
Guam,196,83,0.42346938775510207,42.347
Missouri,799,336,0.42052565707133915,42.053
Pennsylvania,433,182,0.42032332563510394,42.032
Mississippi,351,147,0.4188034188034188,41.88
Kansas,974,405,0.41581108829568786,41.581
Arkansas,588,243,0.413265306122449,41.327
Michigan,878,362,0.4123006833712984,41.23
Indiana,965,397,0.41139896373056994,41.14
Virginia,833,338,0.4057623049219688,40.576
Louisiana,634,257,0.40536277602523657,40.536
Washington,2466,998,0.4047039740470397,40.47
Georgia,739,297,0.401894451962111,40.189
Minnesota,1496,599,0.40040106951871657,40.04
Illinois,365,146,0.4,40.0
Connecticut,746,292,0.3914209115281501,39.142
Florida,1225,479,0.39102040816326533,39.102
New York,1364,530,0.3885630498533724,38.856
Maryland,1283,498,0.3881527669524552,38.815
Montana,726,278,0.38292011019283745,38.292
Idaho,593,226,0.3811129848229342,38.111
Arizona,1006,381,0.378727634194831,37.873
North Carolina,363,137,0.3774104683195592,37.741
New Hampshire,545,205,0.3761467889908257,37.615
New Jersey,515,192,0.37281553398058254,37.282
Alaska,645,238,0.3689922480620155,36.899
Nevada,321,117,0.3644859813084112,36.449
Oregon,592,214,0.3614864864864865,36.149
Rhode Island,507,183,0.3609467455621302,36.095
South Carolina,823,297,0.36087484811664644,36.087
Massachusetts,804,286,0.35572139303482586,35.572
Vermont,846,300,0.3546099290780142,35.461
New Mexico,503,176,0.3499005964214712,34.99
Puerto Rico,286,99,0.34615384615384615,34.615
Utah,605,209,0.34545454545454546,34.545
California,886,299,0.33747178329571104,33.747
Virgin Islands,52,17,0.3269230769230769,32.692
Hawaii,668,213,0.3188622754491018,31.886
District of Columbia,224,70,0.3125,31.25
Colorado,881,273,0.3098751418842225,30.988
